epoch,time_of_day,class_name,precision,recall,f1,ap50,ap50_95
19,night,bike,0.6186,0.4054,0.4898,0.4388,0.2534
19,night,bus,0.5329,0.463,0.4955,0.4637,0.3536
19,night,car,0.7802,0.6562,0.7129,0.737,0.424
19,night,motor,0.6263,0.3077,0.4126,0.4018,0.1926
19,night,person,0.6512,0.4973,0.564,0.5411,0.2595
19,night,rider,0.6351,0.3944,0.4866,0.4352,0.2156
19,night,traffic light,0.6878,0.4954,0.5759,0.5432,0.1808
19,night,traffic sign,0.7178,0.5902,0.6478,0.6586,0.3511
19,night,truck,0.6481,0.4722,0.5464,0.4897,0.3471
20,day,bike,0.6564,0.3523,0.4585,0.432,0.2381
20,day,bus,0.6889,0.3934,0.5008,0.4458,0.3636
20,day,car,0.8071,0.7076,0.7541,0.7691,0.5015
20,day,motor,0.6386,0.3507,0.4527,0.384,0.192
20,day,person,0.7463,0.5219,0.6143,0.6026,0.3103
20,day,rider,0.6659,0.3679,0.4739,0.4115,0.2248
20,day,traffic light,0.6907,0.5551,0.6155,0.5942,0.2489
20,day,traffic sign,0.7138,0.5405,0.6152,0.5955,0.3199
20,day,truck,0.5858,0.5499,0.5672,0.548,0.4
20,night,bike,0.5515,0.3806,0.4503,0.4244,0.224
20,night,bus,0.6587,0.4051,0.5017,0.4309,0.3391
20,night,car,0.7333,0.6888,0.7103,0.7321,0.4198
20,night,motor,0.6448,0.3269,0.4339,0.3556,0.1509
20,night,person,0.7238,0.4591,0.5618,0.5526,0.2685
20,night,rider,0.6141,0.3803,0.4697,0.4156,0.2041
20,night,traffic light,0.6536,0.5341,0.5879,0.5333,0.1789
20,night,traffic sign,0.7345,0.5923,0.6558,0.6583,0.3495
20,night,truck,0.562,0.5126,0.5362,0.4912,0.3535
21,day,bike,0.5409,0.4025,0.4616,0.4293,0.2198
21,day,bus,0.7012,0.4265,0.5304,0.4958,0.3921
21,day,car,0.807,0.7103,0.7555,0.7757,0.505
21,day,motor,0.5782,0.3588,0.4428,0.3698,0.1836
21,day,person,0.7123,0.548,0.6195,0.6038,0.3088
21,day,rider,0.6129,0.3834,0.4717,0.4036,0.2185
21,day,traffic light,0.7304,0.5417,0.622,0.6033,0.2534
21,day,traffic sign,0.6877,0.5638,0.6196,0.5971,0.3184
21,day,truck,0.6242,0.5243,0.5699,0.5466,0.3961
21,night,bike,0.5376,0.4524,0.4913,0.4758,0.2546
21,night,bus,0.7017,0.4356,0.5375,0.4985,0.387
21,night,car,0.7534,0.6734,0.7112,0.7403,0.4257
21,night,motor,0.697,0.2885,0.408,0.3212,0.1525
21,night,person,0.7322,0.4747,0.576,0.5496,0.2598
21,night,rider,0.5169,0.3662,0.4287,0.3884,0.1832
21,night,traffic light,0.6756,0.5186,0.5868,0.5475,0.1848
21,night,traffic sign,0.7269,0.6022,0.6587,0.663,0.3514
21,night,truck,0.6686,0.4621,0.5465,0.5024,0.3617
22,day,bike,0.6665,0.3523,0.461,0.4529,0.2276
22,day,bus,0.6686,0.4803,0.559,0.5127,0.4027
22,day,car,0.8163,0.7107,0.7599,0.7786,0.5061
22,day,motor,0.6107,0.4122,0.4922,0.3912,0.1765
22,day,person,0.718,0.55,0.6229,0.6091,0.3112
22,day,rider,0.6946,0.3575,0.472,0.4028,0.2153
22,day,traffic light,0.7525,0.5259,0.6191,0.6003,0.2517
22,day,traffic sign,0.6948,0.5497,0.6138,0.6009,0.3227
22,day,truck,0.631,0.4962,0.5555,0.5132,0.3771
22,night,bike,0.5601,0.4524,0.5005,0.4518,0.2382
22,night,bus,0.5875,0.4924,0.5357,0.4836,0.3642
22,night,car,0.6812,0.7131,0.6968,0.736,0.422
22,night,motor,0.4812,0.3269,0.3893,0.326,0.163
22,night,person,0.6029,0.5389,0.5691,0.5564,0.2689
22,night,rider,0.5548,0.3944,0.461,0.4467,0.1967
22,night,traffic light,0.6341,0.554,0.5913,0.5427,0.1817
