epoch,time_of_day,class_name,precision,recall,f1,ap50,ap50_95
18,night,motor,0.3915,0.25,0.3052,0.2228,0.087
18,night,person,0.5902,0.4645,0.5199,0.4913,0.2315
18,night,rider,0.5466,0.4085,0.4675,0.3746,0.1867
18,night,traffic light,0.6162,0.4887,0.5451,0.4847,0.1566
18,night,traffic sign,0.6879,0.5606,0.6177,0.6104,0.3135
18,night,truck,0.5772,0.452,0.507,0.4648,0.3276
19,day,bike,0.6612,0.3403,0.4493,0.4056,0.2051
19,day,bus,0.6112,0.4427,0.5135,0.4703,0.3649
19,day,car,0.7598,0.6768,0.7159,0.7364,0.4697
19,day,motor,0.6254,0.2519,0.3592,0.301,0.1481
19,day,person,0.7046,0.4564,0.554,0.5321,0.2572
19,day,rider,0.6424,0.285,0.3948,0.3277,0.172
19,day,traffic light,0.6702,0.4609,0.5462,0.508,0.2023
19,day,traffic sign,0.6836,0.4588,0.5491,0.5112,0.2648
19,day,truck,0.5981,0.4625,0.5216,0.4832,0.3394
19,night,bike,0.5173,0.369,0.4308,0.4053,0.2192
19,night,bus,0.5134,0.463,0.4869,0.4458,0.3475
19,night,car,0.6654,0.6678,0.6666,0.7052,0.3994
19,night,motor,0.5909,0.1923,0.2902,0.2725,0.1155
19,night,person,0.6565,0.4135,0.5074,0.4792,0.2227
19,night,rider,0.4669,0.1831,0.263,0.2334,0.1352
19,night,traffic light,0.6066,0.5079,0.5528,0.496,0.155
19,night,traffic sign,0.6708,0.5797,0.6219,0.6123,0.31
19,night,truck,0.6379,0.4318,0.515,0.45,0.3168
20,day,bike,0.5328,0.4021,0.4583,0.4109,0.1991
20,day,bus,0.5429,0.4369,0.4841,0.4492,0.3522
20,day,car,0.7612,0.6794,0.718,0.7323,0.468
20,day,motor,0.6153,0.2442,0.3496,0.2995,0.1465
20,day,person,0.6599,0.475,0.5524,0.527,0.257
20,day,rider,0.5566,0.342,0.4237,0.3641,0.1905
20,day,traffic light,0.6759,0.4507,0.5408,0.5068,0.2025
20,day,traffic sign,0.6957,0.4557,0.5507,0.5128,0.269
20,day,truck,0.6428,0.4328,0.5173,0.4586,0.327
20,night,bike,0.5114,0.4286,0.4663,0.4121,0.22
20,night,bus,0.5674,0.4454,0.4991,0.4474,0.3442
20,night,car,0.7105,0.6544,0.6813,0.7072,0.3998
20,night,motor,0.537,0.201,0.2925,0.2352,0.097
20,night,person,0.65,0.4316,0.5188,0.4922,0.2257
20,night,rider,0.531,0.338,0.4131,0.3453,0.1908
20,night,traffic light,0.6591,0.4511,0.5356,0.4875,0.1574
20,night,traffic sign,0.751,0.5144,0.6106,0.6045,0.3112
20,night,truck,0.6572,0.4192,0.5119,0.4581,0.3245
21,day,bike,0.5225,0.4057,0.4568,0.4048,0.2016
21,day,bus,0.6506,0.3893,0.4871,0.4293,0.337
21,day,car,0.7501,0.6873,0.7173,0.7372,0.4727
21,day,motor,0.6331,0.2443,0.3525,0.332,0.1542
21,day,person,0.6607,0.485,0.5594,0.5416,0.26
21,day,rider,0.6274,0.3315,0.4338,0.3675,0.1923
21,day,traffic light,0.7182,0.4295,0.5375,0.5169,0.2066
21,day,traffic sign,0.6835,0.4654,0.5537,0.521,0.2709
21,day,truck,0.5734,0.4787,0.5218,0.4786,0.3364
21,night,bike,0.524,0.3929,0.449,0.4018,0.2295
21,night,bus,0.6164,0.3704,0.4627,0.4,0.308
21,night,car,0.7206,0.6542,0.6858,0.7097,0.4032
21,night,motor,0.5162,0.2115,0.3001,0.2656,0.1258
